key,0,2,4,12,13
#,,,,,
offset,24,28,0,8,12
int32,uint32,int32,str,str,str
0,0,0,,,
1,71037,200049,橢圓眼鏡,基礎色的面部配飾。,橢圓眼鏡
2,136573,200053,銀框橢圓眼鏡,銀色的面部配飾。,銀框橢圓眼鏡
3,202109,200052,金框橢圓眼鏡,金色的面部配飾。,金框橢圓眼鏡
4,267645,200054,黑框橢圓眼鏡,黑色的面部配飾。,黑框橢圓眼鏡
5,333181,200059,白框橢圓眼鏡,白色的面部配飾。,白框橢圓眼鏡
6,398717,200050,灰框橢圓眼鏡,灰色的面部配飾。,灰框橢圓眼鏡
7,464253,200057,紅框橢圓眼鏡,紅色的面部配飾。,紅框橢圓眼鏡
8,529789,200056,藍框橢圓眼鏡,藍色的面部配飾。,藍框橢圓眼鏡
9,595325,200060,綠框橢圓眼鏡,綠色的面部配飾。,綠框橢圓眼鏡
10,660861,200051,銅框橢圓眼鏡,銅色的面部配飾。,銅框橢圓眼鏡
11,726397,200055,紫框橢圓眼鏡,紫色的面部配飾。,紫框橢圓眼鏡
12,791933,200058,棕框橢圓眼鏡,棕色的面部配飾。,棕框橢圓眼鏡
13,71038,200085,金邊墨鏡,基礎色的面部配飾。,金邊墨鏡
14,136574,200089,銀框金邊墨鏡,銀色的面部配飾。,銀框金邊墨鏡
15,202110,200088,金框金邊墨鏡,金色的面部配飾。,金框金邊墨鏡
16,267646,200090,黑框金邊墨鏡,黑色的面部配飾。,黑框金邊墨鏡
17,333182,200095,白框金邊墨鏡,白色的面部配飾。,白框金邊墨鏡
18,398718,200086,灰框金邊墨鏡,灰色的面部配飾。,灰框金邊墨鏡
19,464254,200093,紅框金邊墨鏡,紅色的面部配飾。,紅框金邊墨鏡
20,529790,200092,藍框金邊墨鏡,藍色的面部配飾。,藍框金邊墨鏡
21,595326,200096,綠框金邊墨鏡,綠色的面部配飾。,綠框金邊墨鏡
22,660862,200087,銅框金邊墨鏡,銅色的面部配飾。,銅框金邊墨鏡
23,726398,200091,紫框金邊墨鏡,紫色的面部配飾。,紫框金邊墨鏡
24,791934,200094,棕框金邊墨鏡,棕色的面部配飾。,棕框金邊墨鏡
25,71039,200061,經典眼鏡,基礎色的面部配飾。,經典眼鏡
26,136575,200065,銀框經典眼鏡,銀色的面部配飾。,銀框經典眼鏡
27,202111,200064,金框經典眼鏡,金色的面部配飾。,金框經典眼鏡
28,267647,200066,黑框經典眼鏡,黑色的面部配飾。,黑框經典眼鏡
29,333183,200071,白框經典眼鏡,白色的面部配飾。,白框經典眼鏡
30,398719,200062,灰框經典眼鏡,灰色的面部配飾。,灰框經典眼鏡
31,464255,200069,紅框經典眼鏡,紅色的面部配飾。,紅框經典眼鏡
32,529791,200068,藍框經典眼鏡,藍色的面部配飾。,藍框經典眼鏡
33,595327,200072,綠框經典眼鏡,綠色的面部配飾。,綠框經典眼鏡
34,660863,200063,銅框經典眼鏡,銅色的面部配飾。,銅框經典眼鏡
35,726399,200067,紫框經典眼鏡,紫色的面部配飾。,紫框經典眼鏡
36,791935,200070,棕框經典眼鏡,棕色的面部配飾。,棕框經典眼鏡
37,71040,200013,玫瑰色眼鏡,基礎色的面部配飾。,玫瑰色眼鏡
38,136576,200017,銀框玫瑰色眼鏡,銀色的面部配飾。,銀框玫瑰色眼鏡
39,202112,200016,金框玫瑰色眼鏡,金色的面部配飾。,金框玫瑰色眼鏡
